,Server,Time_floor,variable,Value
0,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,0,CPU Usage,0.006560137038670503
170,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,0,Memory Usage,0.008597345457627904
340,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,0,Latency,0.019573777121908435
1,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,2,CPU Usage,0.004099477084074335
171,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,2,Memory Usage,0.003099583497583639
341,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,2,Latency,0.07176053712166972
2,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,6,CPU Usage,0.10957840986969332
172,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,6,Memory Usage,0.014003770267730987
342,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,6,Latency,0.030523653967740476
3,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,8,CPU Usage,0.007009519134064979
173,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,8,Memory Usage,0.0023059028642028684
343,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,8,Latency,1.0957840986969334
4,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,11,CPU Usage,0.003572270355135502
174,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,11,Memory Usage,0.009779643362045065
344,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,11,Latency,0.05914199541644248
5,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,15,CPU Usage,0.004152569222102806
175,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,15,Memory Usage,0.004637475902307996
345,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,15,Latency,0.04149463413630458
6,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,18,CPU Usage,0.007501762869184426
176,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,18,Memory Usage,0.005223971685899708
346,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,18,Latency,0.023318723779921828
7,authentication#014c724c-5e66-4a51-8408-6264cf5e0898,21,CPU Usage,0.007097721329424836
