,Server,Time_floor,variable,Value
0,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,0,CPU Usage (%),0.0525
399,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,0,Memory Usage (%),0.00525
798,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,0,Latency (s),0.5849642159703603
1,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,1,CPU Usage (%),0.24
400,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,1,Memory Usage (%),0.024000000000000004
799,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,1,Latency (s),2.481001192920996
2,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,2,CPU Usage (%),0.8371999999999999
401,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,2,Memory Usage (%),0.08422000000000004
800,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,2,Latency (s),8.424760277462452
3,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,3,CPU Usage (%),1.0
402,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,3,Memory Usage (%),0.12109523809523817
801,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,3,Latency (s),10.051809444608947
4,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,4,CPU Usage (%),1.0
403,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,4,Memory Usage (%),0.12565625000000008
802,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,4,Latency (s),10.059588885798405
5,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,5,CPU Usage (%),1.0
404,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,5,Memory Usage (%),0.1255737704918033
803,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,5,Latency (s),10.0559341095187
6,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,6,CPU Usage (%),1.0
405,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,6,Memory Usage (%),0.12403174603174603
804,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,6,Latency (s),10.050981935906856
7,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,7,CPU Usage (%),1.0
406,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,7,Memory Usage (%),0.12165573770491814
805,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,7,Latency (s),10.055349542638583
8,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,8,CPU Usage (%),1.0
407,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,8,Memory Usage (%),0.11960344827586215
806,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,8,Latency (s),10.053901472321284
9,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,9,CPU Usage (%),1.0
408,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,9,Memory Usage (%),0.12215873015873016
807,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,9,Latency (s),10.05124730647732
10,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,10,CPU Usage (%),1.0
409,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,10,Memory Usage (%),0.12316666666666672
808,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,10,Latency (s),10.058319642035963
11,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,11,CPU Usage (%),1.0
410,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,11,Memory Usage (%),0.12282539682539688
809,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,11,Latency (s),10.055247580097356
12,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,12,CPU Usage (%),1.0
411,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,12,Memory Usage (%),0.1243870967741936
810,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,12,Latency (s),10.051615668989715
13,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,13,CPU Usage (%),1.0
412,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,13,Memory Usage (%),0.12483870967741939
811,authentication#eadfa81c-f818-47b5-8e6b-98e13a1704e2,13,Latency (s),10.051677214126931
