,Server,Time_floor,variable,Value
0,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,4,CPU Usage,0.0
494,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,4,Memory Usage,0.0
988,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,4,Latency,0.0
1,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,5,CPU Usage,0.0
495,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,5,Memory Usage,0.0
989,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,5,Latency,0.0
2,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,6,CPU Usage,0.0
496,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,6,Memory Usage,0.0
990,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,6,Latency,0.0
3,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,7,CPU Usage,0.0
497,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,7,Memory Usage,0.0
991,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,7,Latency,0.0
4,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,8,CPU Usage,0.0
498,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,8,Memory Usage,0.0
992,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,8,Latency,0.0
5,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,9,CPU Usage,0.0
499,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,9,Memory Usage,0.0
993,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,9,Latency,0.0
6,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,10,CPU Usage,0.0
500,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,10,Memory Usage,0.0
994,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,10,Latency,0.0
7,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,11,CPU Usage,0.0
501,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,11,Memory Usage,0.0
995,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,11,Latency,0.0
8,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,12,CPU Usage,0.0
502,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,12,Memory Usage,0.0
996,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,12,Latency,0.0
9,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,13,CPU Usage,0.0
503,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,13,Memory Usage,0.0
997,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,13,Latency,0.0
10,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,14,CPU Usage,0.0
504,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,14,Memory Usage,0.0
998,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,14,Latency,0.0
11,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,15,CPU Usage,0.0
505,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,15,Memory Usage,0.0
999,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,15,Latency,0.0
12,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,16,CPU Usage,0.0
506,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,16,Memory Usage,0.0
1000,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,16,Latency,0.0
13,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,17,CPU Usage,0.0
507,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,17,Memory Usage,0.0
1001,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,17,Latency,0.0
14,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,18,CPU Usage,0.0
508,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,18,Memory Usage,0.0
1002,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,18,Latency,0.0
15,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,19,CPU Usage,0.0
509,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,19,Memory Usage,0.0
1003,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,19,Latency,0.0
16,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,20,CPU Usage,0.0
510,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,20,Memory Usage,0.0
1004,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,20,Latency,0.0
17,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,21,CPU Usage,0.0
511,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,21,Memory Usage,0.0
1005,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,21,Latency,0.0
18,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,22,CPU Usage,0.0
512,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,22,Memory Usage,0.0
1006,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,22,Latency,0.0
19,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,23,CPU Usage,0.0
513,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,23,Memory Usage,0.0
1007,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,23,Latency,0.0
20,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,24,CPU Usage,0.0
514,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,24,Memory Usage,0.0
1008,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,24,Latency,0.0
21,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,25,CPU Usage,0.0
515,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,25,Memory Usage,0.0
1009,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,25,Latency,0.0
22,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,26,CPU Usage,0.0
516,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,26,Memory Usage,0.0
1010,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,26,Latency,0.0
23,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,27,CPU Usage,0.0
517,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,27,Memory Usage,0.0
1011,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,27,Latency,0.0
24,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,28,CPU Usage,0.0
518,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,28,Memory Usage,0.0
1012,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,28,Latency,0.0
25,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,29,CPU Usage,0.0
519,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,29,Memory Usage,0.0
1013,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,29,Latency,0.0
26,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,30,CPU Usage,0.0
520,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,30,Memory Usage,0.0
1014,balance#63991970-4bb8-4418-99b1-93db75ad1ec6,30,Latency,0.0
27,balance#8e3738a4-4644-4151-a622-b807800f5014,2,CPU Usage,0.0
521,balance#8e3738a4-4644-4151-a622-b807800f5014,2,Memory Usage,0.0
1015,balance#8e3738a4-4644-4151-a622-b807800f5014,2,Latency,0.0
28,balance#8e3738a4-4644-4151-a622-b807800f5014,3,CPU Usage,0.0
522,balance#8e3738a4-4644-4151-a622-b807800f5014,3,Memory Usage,0.0
1016,balance#8e3738a4-4644-4151-a622-b807800f5014,3,Latency,0.0
29,balance#8e3738a4-4644-4151-a622-b807800f5014,4,CPU Usage,0.0
523,balance#8e3738a4-4644-4151-a622-b807800f5014,4,Memory Usage,0.0
1017,balance#8e3738a4-4644-4151-a622-b807800f5014,4,Latency,0.0
30,balance#8e3738a4-4644-4151-a622-b807800f5014,5,CPU Usage,0.0
524,balance#8e3738a4-4644-4151-a622-b807800f5014,5,Memory Usage,0.0
1018,balance#8e3738a4-4644-4151-a622-b807800f5014,5,Latency,0.0
31,balance#8e3738a4-4644-4151-a622-b807800f5014,6,CPU Usage,0.0
525,balance#8e3738a4-4644-4151-a622-b807800f5014,6,Memory Usage,0.0
1019,balance#8e3738a4-4644-4151-a622-b807800f5014,6,Latency,0.0
32,balance#8e3738a4-4644-4151-a622-b807800f5014,7,CPU Usage,0.0
526,balance#8e3738a4-4644-4151-a622-b807800f5014,7,Memory Usage,0.0
1020,balance#8e3738a4-4644-4151-a622-b807800f5014,7,Latency,0.0
33,balance#8e3738a4-4644-4151-a622-b807800f5014,8,CPU Usage,0.0
527,balance#8e3738a4-4644-4151-a622-b807800f5014,8,Memory Usage,0.0
1021,balance#8e3738a4-4644-4151-a622-b807800f5014,8,Latency,0.0
34,balance#8e3738a4-4644-4151-a622-b807800f5014,9,CPU Usage,0.0
528,balance#8e3738a4-4644-4151-a622-b807800f5014,9,Memory Usage,0.0
1022,balance#8e3738a4-4644-4151-a622-b807800f5014,9,Latency,0.0
35,balance#8e3738a4-4644-4151-a622-b807800f5014,10,CPU Usage,0.0
529,balance#8e3738a4-4644-4151-a622-b807800f5014,10,Memory Usage,0.0
1023,balance#8e3738a4-4644-4151-a622-b807800f5014,10,Latency,0.0
36,balance#8e3738a4-4644-4151-a622-b807800f5014,11,CPU Usage,0.0
530,balance#8e3738a4-4644-4151-a622-b807800f5014,11,Memory Usage,0.0
1024,balance#8e3738a4-4644-4151-a622-b807800f5014,11,Latency,0.0
37,balance#8e3738a4-4644-4151-a622-b807800f5014,12,CPU Usage,0.0
531,balance#8e3738a4-4644-4151-a622-b807800f5014,12,Memory Usage,0.0
1025,balance#8e3738a4-4644-4151-a622-b807800f5014,12,Latency,0.0
38,balance#8e3738a4-4644-4151-a622-b807800f5014,13,CPU Usage,0.0
532,balance#8e3738a4-4644-4151-a622-b807800f5014,13,Memory Usage,0.0
1026,balance#8e3738a4-4644-4151-a622-b807800f5014,13,Latency,0.0
39,balance#8e3738a4-4644-4151-a622-b807800f5014,14,CPU Usage,0.0
533,balance#8e3738a4-4644-4151-a622-b807800f5014,14,Memory Usage,0.0
1027,balance#8e3738a4-4644-4151-a622-b807800f5014,14,Latency,0.0
40,balance#8e3738a4-4644-4151-a622-b807800f5014,15,CPU Usage,0.0
534,balance#8e3738a4-4644-4151-a622-b807800f5014,15,Memory Usage,0.0
