,Server,Time_floor,variable,Value
0,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,0,CPU Usage,0.004011907092906223
26,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,0,Memory Usage,0.0010243229260965246
52,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,0,Latency,0.0
1,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,1,CPU Usage,0.007967592172721274
27,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,1,Memory Usage,0.006705629727934363
53,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,1,Latency,0.04011907092906223
2,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,3,CPU Usage,0.009701113965372049
28,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,3,Memory Usage,0.003409160651812319
54,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,3,Latency,0.07967592172721275
3,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,4,CPU Usage,0.003867346246090785
29,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,4,Memory Usage,0.0063599550836879095
55,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,4,Latency,0.09701113965372046
4,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,7,CPU Usage,0.1080072020979971
30,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,7,Memory Usage,0.012203134150217084
56,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,7,Latency,0.03867346246090786
5,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,9,CPU Usage,0.006572600845421025
31,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,9,Memory Usage,0.0010121322221774195
57,authentication#407a0a6c-ed06-48e9-bb9b-f89d07167b44,9,Latency,0.08900440224685502
6,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,0,CPU Usage,0.006390175231829101
32,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,0,Memory Usage,0.00260033222202458
58,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,0,Latency,0.06964256994916458
7,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,2,CPU Usage,0.00837398890694122
33,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,2,Memory Usage,0.006296015128704751
59,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,2,Latency,1.0152135677245302
8,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,4,CPU Usage,0.20363796184012808
34,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,4,Memory Usage,0.026955551105190757
60,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,4,Latency,1.0546093219097423
9,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,5,CPU Usage,0.20363796184012808
35,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,5,Memory Usage,0.026955551105190757
61,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,5,Latency,1.0546093219097423
10,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,7,CPU Usage,0.10917820876786953
36,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,7,Memory Usage,0.017948908194790954
62,balance#9974569b-0efd-42aa-8b8c-65d30d508cda,7,Latency,0.06359367048783031
11,client,0,CPU Usage,0.006964256994916457
37,client,0,Memory Usage,0.005658174974288096
63,client,0,Latency,0.0
12,client,1,CPU Usage,0.101521356772453
38,client,1,Memory Usage,0.017475334265896834
64,client,1,Latency,0.06390175231829101
13,client,3,CPU Usage,0.10789285474673864
39,client,3,Memory Usage,0.012679814244717995
65,client,3,Latency,0.08373988906941221
14,client,4,CPU Usage,0.10546093219097424
40,client,4,Memory Usage,0.017607361179633386
66,client,4,Latency,0.07038483914479735
15,client,7,CPU Usage,0.006359367048783031
41,client,7,Memory Usage,0.002827513260413385
67,client,7,Latency,3.0448409804578813
16,client,8,CPU Usage,0.20454515967950812
42,client,8,Memory Usage,0.024754358176943287
68,client,8,Latency,1.0917820876786954
17,client,9,CPU Usage,0.20454515967950812
43,client,9,Memory Usage,0.024754358176943287
69,client,9,Latency,1.0917820876786954
18,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,0,CPU Usage,0.0023128956910192897
44,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,0,Memory Usage,0.0050331430347517496
70,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,0,Latency,0.0
19,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,2,CPU Usage,0.009811109926240166
45,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,2,Memory Usage,0.005143172853665027
71,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,2,Latency,0.0231289569101929
20,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,4,CPU Usage,0.006463692609538461
46,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,4,Memory Usage,0.0032402519159554486
72,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,4,Latency,0.09811109926240166
21,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,5,CPU Usage,0.0023853166620274925
47,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,5,Memory Usage,0.0032567758389129057
73,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,5,Latency,0.06463692609538463
22,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,7,CPU Usage,0.007632023579450478
48,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,7,Memory Usage,0.005187199281396904
74,credit#912e2dfe-9522-4d6f-9bf2-4f8bfd8c45c1,7,Latency,0.023853166620274924
23,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,0,CPU Usage,0.004163344356832296
49,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,0,Memory Usage,0.0034721444844631145
75,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,0,Latency,0.0
24,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,2,CPU Usage,0.005600114511576853
50,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,2,Memory Usage,0.0020985351661519302
76,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,2,Latency,0.041633443568322964
25,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,4,CPU Usage,0.0062165861080229895
51,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,4,Memory Usage,0.005126476494901592
77,payment#6640bbc6-240d-435b-857c-f3ea5b7de1f6,4,Latency,0.05600114511576852
