,Server,Time_floor,variable,Value
0,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,0,CPU Usage,0.002112974302851889
1612,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,0,Memory Usage,0.005031031421620244
3224,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,0,Latency,0.0
1,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,1,CPU Usage,0.009926925849237964
1613,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,1,Memory Usage,0.00531032527535613
3225,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,1,Latency,0.02112974302851889
2,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,2,CPU Usage,0.0020000948814038093
1614,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,2,Memory Usage,0.005982632119800034
3226,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,2,Latency,0.09926925849237964
3,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,4,CPU Usage,0.0036748699994912618
1615,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,4,Memory Usage,0.0059330998672785275
3227,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,4,Latency,0.025993768416193254
4,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,5,CPU Usage,0.004735109471119567
1616,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,5,Memory Usage,0.003971421128347486
3228,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,5,Latency,0.04151081197147681
5,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,6,CPU Usage,0.007418313423996447
1617,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,6,Memory Usage,0.006853293350993624
3229,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,6,Latency,0.0607397031437062
6,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,13,CPU Usage,0.0013916226199858724
1618,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,13,Memory Usage,0.0053361676291299506
3230,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,13,Latency,0.0432473215238685
7,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,15,CPU Usage,0.003335722538176726
1619,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,15,Memory Usage,0.002656851154913087
3231,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,15,Latency,0.015575766255692647
8,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,17,CPU Usage,0.005161659873231911
1620,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,17,Memory Usage,0.004035563609041721
3232,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,17,Latency,0.02526553375571367
9,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,20,CPU Usage,0.002715729006400127
1621,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,20,Memory Usage,0.007011483326769677
3233,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,20,Latency,0.08605935533497812
10,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,23,CPU Usage,0.0015542366029144788
1622,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,23,Memory Usage,0.0032168543697936873
3234,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,23,Latency,0.02715729006400127
11,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,26,CPU Usage,0.0018919213423358753
1623,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,26,Memory Usage,0.006204251437084528
3235,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,26,Latency,0.015542366029144791
12,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,27,CPU Usage,0.0042652756191083815
1624,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,27,Memory Usage,0.008731688773402652
3236,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,27,Latency,0.039926334432337465
13,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,28,CPU Usage,0.013504889568175173
1625,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,28,Memory Usage,0.007496037255083758
3237,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,28,Latency,0.024372056940851462
14,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,30,CPU Usage,0.004219375992557875
1626,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,30,Memory Usage,0.008620565243441448
3238,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,30,Latency,0.1350488956817517
15,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,31,CPU Usage,0.0022039044654696424
1627,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,31,Memory Usage,0.002705952003100623
3239,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,31,Latency,0.04219375992557875
16,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,39,CPU Usage,0.005091360611881559
1628,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,39,Memory Usage,0.007212634627585574
3240,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,39,Latency,0.03997337094008887
17,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,40,CPU Usage,0.005698407571310184
1629,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,40,Memory Usage,0.005797011019773171
3241,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,40,Latency,0.0578959153639507
18,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,42,CPU Usage,0.006374399233304526
1630,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,42,Memory Usage,0.002278447418581967
3242,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,42,Latency,0.03671373841140374
19,authentication#4bc5b2fc-b2cc-4d8e-bfe3-d1bc0f94b16c,43,CPU Usage,0.019809289296971237
