,Server,Time_floor,variable,Value
0,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,0,CPU Usage,0.0
1007,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,0,Memory Usage,0.0
2014,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,0,Latency,0.0
1,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,1,CPU Usage,0.0
1008,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,1,Memory Usage,0.0
2015,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,1,Latency,0.0
2,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,2,CPU Usage,0.0
1009,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,2,Memory Usage,0.0
2016,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,2,Latency,0.0
3,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,3,CPU Usage,0.0
1010,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,3,Memory Usage,0.0
2017,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,3,Latency,0.0
4,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,4,CPU Usage,0.0
1011,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,4,Memory Usage,0.0
2018,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,4,Latency,0.0
5,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,5,CPU Usage,0.0
1012,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,5,Memory Usage,0.0
2019,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,5,Latency,0.0
6,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,6,CPU Usage,0.0
1013,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,6,Memory Usage,0.0
2020,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,6,Latency,0.0
7,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,7,CPU Usage,0.0
1014,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,7,Memory Usage,0.0
2021,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,7,Latency,0.0
8,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,8,CPU Usage,0.0
1015,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,8,Memory Usage,0.0
2022,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,8,Latency,0.0
9,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,9,CPU Usage,0.0
